date,state,death
3/4/2021,UT,1955
3/4/2021,VA,9357
3/4/2021,VI,25
3/4/2021,VT,207
3/4/2021,WA,5012
3/4/2021,WI,7082
3/4/2021,WV,2309
3/4/2021,WY,682
3/3/2021,AK,303
3/3/2021,AL,10029
3/3/2021,AR,5261
3/3/2021,AS,0
3/3/2021,AZ,16089
3/3/2021,CA,52775
3/3/2021,CO,5970
3/3/2021,CT,7678
3/3/2021,DC,1023
3/3/2021,DE,1440
3/3/2021,FL,31829
3/3/2021,GA,17625
3/3/2021,GU,131
3/3/2021,HI,441
3/3/2021,IA,5501
3/3/2021,ID,1871
3/3/2021,IL,22853
3/3/2021,IN,12633
3/3/2021,KS,4816
3/3/2021,KY,4704
3/3/2021,LA,9668
3/3/2021,MA,16252
3/3/2021,MD,7919
3/3/2021,ME,705
3/3/2021,MI,16550
3/3/2021,MN,6507
3/3/2021,MO,8148
3/3/2021,MP,2
3/3/2021,MS,6743
3/3/2021,MT,1373
3/3/2021,NC,11363
3/3/2021,ND,1478
3/3/2021,NE,2091
3/3/2021,NH,1175
3/3/2021,NJ,23449
3/3/2021,NM,3753
3/3/2021,NV,4987
3/3/2021,NY,38735
3/3/2021,OH,17189
3/3/2021,OK,4534
3/3/2021,OR,2225
3/3/2021,PA,24169
3/3/2021,PR,2048
3/3/2021,RI,2534
3/3/2021,SC,8620
3/3/2021,SD,1893
3/3/2021,TN,11459
3/3/2021,TX,43563
3/3/2021,UT,1955
3/3/2021,VA,9326
3/3/2021,VI,25
3/3/2021,VT,207
3/3/2021,WA,4988
3/3/2021,WI,7069
3/3/2021,WV,2309
3/3/2021,WY,682
3/2/2021,AK,302
3/2/2021,AL,9991
3/2/2021,AR,5254
3/2/2021,AS,0
3/2/2021,AZ,16060
3/2/2021,CA,52497
3/2/2021,CO,5959
3/2/2021,CT,7658
3/2/2021,DC,1019
3/2/2021,DE,1426
3/2/2021,FL,31696
3/2/2021,GA,17480
3/2/2021,GU,131
3/2/2021,HI,439
3/2/2021,IA,5498
3/2/2021,ID,1867
3/2/2021,IL,22803
3/2/2021,IN,12623
3/2/2021,KS,4743
3/2/2021,KY,4671
3/2/2021,LA,9647
3/2/2021,MA,16182
3/2/2021,MD,7905
3/2/2021,ME,703
3/2/2021,MI,16544
3/2/2021,MN,6490
3/2/2021,MO,7932
3/2/2021,MP,2
3/2/2021,MS,6724
3/2/2021,MT,1372
3/2/2021,NC,11288
3/2/2021,ND,1477
3/2/2021,NE,2084
3/2/2021,NH,1170
3/2/2021,NJ,23321
3/2/2021,NM,3740
3/2/2021,NV,4967
3/2/2021,NY,38660
3/2/2021,OH,17189
3/2/2021,OK,4534
3/2/2021,OR,2212
3/2/2021,PA,24100
3/2/2021,PR,2040
3/2/2021,RI,2525
3/2/2021,SC,8576
3/2/2021,SD,1888
3/2/2021,TN,11436
3/2/2021,TX,43266
3/2/2021,UT,1949
3/2/2021,VA,8943
3/2/2021,VI,25
3/2/2021,VT,206
3/2/2021,WA,4969
3/2/2021,WI,7050
3/2/2021,WV,2301
3/2/2021,WY,682
3/1/2021,AK,300
3/1/2021,AL,9931
3/1/2021,AR,5250
3/1/2021,AS,0
3/1/2021,AZ,15979
3/1/2021,CA,52194
3/1/2021,CO,5952
3/1/2021,CT,7651
3/1/2021,DC,1019
3/1/2021,DE,1422
3/1/2021,FL,31556
3/1/2021,GA,17376
3/1/2021,GU,131
3/1/2021,HI,439
3/1/2021,IA,5472
3/1/2021,ID,1860
3/1/2021,IL,22759
3/1/2021,IN,12595
3/1/2021,KS,4743
3/1/2021,KY,4652
3/1/2021,LA,9628
3/1/2021,MA,16144
3/1/2021,MD,7879
3/1/2021,ME,703
3/1/2021,MI,16519
3/1/2021,MN,6486
3/1/2021,MO,7919
3/1/2021,MP,2
3/1/2021,MS,6681
3/1/2021,MT,1357
3/1/2021,NC,11254
3/1/2021,ND,1475
3/1/2021,NE,2082
3/1/2021,NH,1170
3/1/2021,NJ,23273
3/1/2021,NM,3729
3/1/2021,NV,4957
3/1/2021,NY,38577
3/1/2021,OH,17346
3/1/2021,OK,4478
3/1/2021,OR,2208
3/1/2021,PA,24026
3/1/2021,PR,2037
3/1/2021,RI,2517
3/1/2021,SC,8562
3/1/2021,SD,1888
3/1/2021,TN,11421
3/1/2021,TX,42995
3/1/2021,UT,1940
3/1/2021,VA,8783
3/1/2021,VI,25
3/1/2021,VT,205
3/1/2021,WA,4956
3/1/2021,WI,7014
3/1/2021,WV,2300
3/1/2021,WY,671
2/28/2021,AK,290
2/28/2021,AL,9929
2/28/2021,AR,5243
2/28/2021,AS,0
2/28/2021,AZ,15980
2/28/2021,CA,51979
2/28/2021,CO,5951
2/28/2021,CT,7622
2/28/2021,DC,1017
2/28/2021,DE,1422
2/28/2021,FL,31406
2/28/2021,GA,17295
2/28/2021,GU,131
2/28/2021,HI,439
2/28/2021,IA,5471
2/28/2021,ID,1860
2/28/2021,IL,22735
2/28/2021,IN,12573
2/28/2021,KS,4735
2/28/2021,KY,4637
2/28/2021,LA,9608
2/28/2021,MA,16118
2/28/2021,MD,7869
2/28/2021,ME,703
2/28/2021,MI,16508
